year,title,artist,id,uri,rank,genre,cover,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,time_signature,duration_ms,start_time
1947,My Fickle Eye,Betty Hutton,5yBhvkVU4VplSiqJyM3rmH,spotify:track:5yBhvkVU4VplSiqJyM3rmH,46,Jazz,FALSE,0.562,0.438,5,-7.841,0.0935,0.831,0,0.343,0.748,165.153,1,4,166760,0:24
1947,When You Were Sweet Sixteen,Perry Como,4oyVWxLpGes0rzpPyeGmFK,spotify:track:4oyVWxLpGes0rzpPyeGmFK,47,Pop,FALSE,0.271,0.0692,10,-15.848,0.0324,0.99,0.00282,0.122,0.244,95.946,1,3,189973,0:11
1947,I Don't Know Enough About You,The Mills Brothers,1aqGBhAq4f8zkDNuyTUdhS,spotify:track:1aqGBhAq4f8zkDNuyTUdhS,47,Pop,FALSE,0.871,0.0559,0,-17.444,0.068,0.93,0,0.088,0.494,92.124,1,4,181707,0:09
1947,Blue Skies - Remastered 1991,Benny Goodman,2gsBDWJAvnwqQYciXBJnmR,spotify:track:2gsBDWJAvnwqQYciXBJnmR,48,Jazz,FALSE,0.768,0.331,2,-9.828,0.0531,0.896,0.864,0.0251,0.814,77.073,1,4,216000,0:02
1947,The House of Blue Lights,Ella Mae Morse,1ZMoEiIgMdAm8Hj6aS8SyA,spotify:track:1ZMoEiIgMdAm8Hj6aS8SyA,49,Pop,FALSE,0.685,0.29,7,-13.383,0.131,0.67,0,0.0632,0.817,78.304,1,4,173293,0:50
1947,I Have But One Heart,Vic Damone,6Q9XMZwVx5qwCMo1vyDyJV,spotify:track:6Q9XMZwVx5qwCMo1vyDyJV,49,Pop,FALSE,0.226,0.129,10,-17.815,0.0383,0.851,0.158,0.0988,0.265,76.771,1,1,179800,0:50
1947,You Do,Dinah Shore,4MeFtR40tNGiYHNyshHMue,spotify:track:4MeFtR40tNGiYHNyshHMue,50,Jazz,FALSE,0.34,0.0941,6,-17.246,0.034,0.981,1.85E-05,0.181,0.171,85.192,1,4,164520,1:00
1947,This Is Always - Remastered,Jo Stafford,2sK7SPuUDaFfZQ7JB8j1Gj,spotify:track:2sK7SPuUDaFfZQ7JB8j1Gj,51,Pop,FALSE,0.277,0.0884,4,-14.23,0.0344,0.985,3.72E-06,0.141,0.265,86.825,1,4,181467,0:06
1947,So Far,Perry Como,4SeA09IqMBVmi9goFbenan,spotify:track:4SeA09IqMBVmi9goFbenan,51,Pop,FALSE,0.292,0.137,10,-9.891,0.0354,0.988,0.0332,0.281,0.171,159.945,1,4,199693,1:14
1947,Pretending - Remastered,Andy Russell,0d2xsirC37XRUjw4UCTOzS,spotify:track:0d2xsirC37XRUjw4UCTOzS,52,Pop,TRUE,0.323,0.139,7,-13.008,0.03,0.985,0.000303,0.321,0.272,87.221,0,4,188733,0:03
1947,I Got the Sun in the Morning,Doris Day,6i7eKVeLYfhLSzva2zRBNT,spotify:track:6i7eKVeLYfhLSzva2zRBNT,53,Pop,FALSE,0.554,0.107,0,-15.721,0.0567,0.877,1.29E-06,0.0666,0.216,105.998,1,4,227773,0:15
1947,Too Fat Polka,Arthur Godfrey,1iFMQ1rccfsMERp2fHjG2X,spotify:track:1iFMQ1rccfsMERp2fHjG2X,54,Jazz,FALSE,0.801,0.401,7,-11.726,0.0912,0.926,0,0.121,0.85,119.512,1,4,185000,0:19
1947,The Things We Did Last Summer - Remastered,Jo Stafford,4s6DpXuVpOg5sxhELsISAf,spotify:track:4s6DpXuVpOg5sxhELsISAf,54,Pop,FALSE,0.276,0.129,4,-17.252,0.0364,0.984,0.00021,0.298,0.232,60.29,1,3,182973,0:13
1947,How Soon (Will I Be Seeing You),Dinah Shore,5eZbvWRmr4MZ3ArQqM3eb5,spotify:track:5eZbvWRmr4MZ3ArQqM3eb5,55,Jazz,FALSE,0.315,0.0505,8,-19.132,0.036,0.96,1.50E-05,0.245,0.105,89.815,1,4,182293,0:30
1947,Passe,Margaret Whiting,0T8bhZpKSylrYCnRdspHk4,spotify:track:0T8bhZpKSylrYCnRdspHk4,55,Pop,FALSE,0.319,0.166,10,-15.522,0.0323,0.987,0.593,0.112,0.278,85.327,1,4,188960,1:00
1947,Whiffenpoof Song - Single Version,Bing Crosby,5dIyvpPliDkILk9vURXiZa,spotify:track:5dIyvpPliDkILk9vURXiZa,56,Pop,FALSE,0.4,0.0602,10,-20.089,0.0398,0.99,1.58E-05,0.102,0.217,64.004,1,4,183440,0:31
1947,I Guess I'll Get The Papers And Go Home,The Mills Brothers,5ma1Xcaj0dyZ5JsqHplFp3,spotify:track:5ma1Xcaj0dyZ5JsqHplFp3,56,Pop,FALSE,0.653,0.0385,9,-18.278,0.0497,0.972,0,0.0599,0.404,72.802,1,4,149360,1:51
1947,The Coffee Song,Frank Sinatra,42mo39zzPytS3o9kedVT6W,spotify:track:42mo39zzPytS3o9kedVT6W,57,Jazz,FALSE,0.504,0.503,10,-11.111,0.0827,0.774,0,0.171,0.919,198.573,1,4,171053,0:09
